path,dialect_region,sentence,ipa_reference,ipa_audio,ipa_swiss_whisper
0bda2f56-850b-4930-9370-89ba5bb5e80a/d115ccf1076bab9c97a0d10d1e488f88fc5d9f234166a9c162f921db470605f5.mp3,Ostschweiz,Der Bericht enthält weitere Lücken.,dɛɾ bərɪçt ɛnthɛlt vaɪtərə lʏkən,dɛt brɪxt ɛntɦatɛt vitər lykə,dɛɾ bərɪçt ɛnthɛlt vaɪtərə lʏkən
684dd9cf-2844-407b-9a7f-12e7b559773f/baa106459ce0311af6cc9d3c458ba71aac9476ade62a876e735981eea44f5873.mp3,Ostschweiz,Auch die FDP möchte ihre Vertretung weiter ausbauen.,aʊx di ɛfdepe mœçtə irə fɛɾtɾetʊŋ vaɪtɜ aʊsbaʊən,aʊ tɛftɪpe vøkir efɛtɾɛtɪg vitə uspaʊə,aʊx di ɛfdepe vɪl irə fɛɾtɾetʊŋ vaɪtɜ aʊsbaʊən
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/af43658f5a8aebbafe25cd7c6504dcb7464dfef295c9ec6eaf374aad03fd316d.mp3,Ostschweiz,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsudem bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn venɪç dɑbaɪ,tsudɛn bini biɛsərɛf als ɛkspɛɾtɛ nɔɾ ɛs pitslɪdɛbi,tsudem bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn venɪç dɑbaɪ
937d2af6-fc16-47b1-a53b-4dee4accc211/79325f5cd8e7de58c2464812ce86bf6bcb8b71b0d598c82ffe28c2db3932df86.mp3,Ostschweiz,Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑfyɾ vʊɐdə ɛɾ mɪt dɛɾ filtsmedalɪə aʊsɡətsaɪçnət,dɑrdɛ fyɾ ɪn ɪn dɛn filt mɪdɛlɾi aʊstsaɪçnət vɑrdən,dɑfyɾ vʊɐdə aʊx mɪt den fɪltsmedaɪlən aʊsɡətsaɪçnət
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/b0a6c641426b3becfd8b17b4e271775890be4d50640bd024af3cdd132970c61b.mp3,Ostschweiz,Das habe ich mir aber nur einmal angeschaut.,das hɑbə ɪç miɾ ɑbɜ nuɾ aɪnmɑl anɡəʃaʊt,dɛsain nɛmɑrɑbɑnu aɪmɑlɑ klɛuɛkɛtt,dis hɑbə ɪç miɾ ɑbɜ nuɾ aɪnmɑl anɡəʃaʊt
831d404d-b189-42b6-8120-073c1f8af73c/9a881d77bd50409d8e40e00a7167ca129d0f49489ee8b95aaf06e33fb77cb07f.mp3,Ostschweiz,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kanabɪs ɪst ɪn bətsuk aʊf pzʏçozə nɪçt ɡants onə,kɑnɑpɪs ɪn bɪtsukɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuk aʊf pzʏçozə nɪçt ɡants onə
937d2af6-fc16-47b1-a53b-4dee4accc211/5d5a925fc751c81bc14fc8e3785066be2f87708ff6e6ee407742cd8310c9d037.mp3,Ostschweiz,Der russische Ministerpräsident Wladimir Putin warnte vor einer Intervention von aussen.,dɛɾ rʊsɪʃə minɪstɜpɾɛzidɛnt vlɑdimiɾ putɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjon fɔn aʊsən,ɪtə rʊsɪʃ minɪʃtɑpɛɪsɪdɛnt vlɑtɪ miɾ bʊdɪn hɛdfɔrɑ ɪntɛɾɪntsɪon fɔɾ ʊsəkwaɾnt,rʊsɪʃ minɪstɜpɾɛzidɛnt vlɑdimiɾ putɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjon fɔn aʊsən ɡəvaɾnt
72911186-8b0e-4c0b-af3d-4d8765072930/81627527126fa2b4492de537a2dbcc64826aa7baf74450364e3656a7f48fd59b.mp3,Ostschweiz,Ein Punkt ist besonders erwähnenswert.,aɪn pʊŋkt ɪst bəzɔndɜs ɛɾvɛnənsveɾt,aɪpfʊŋktɪç pzʊndɐs ɛɾn vɛɾdənɪts vɛɾt,aɪn pʊŋkt ɪst bəzɔndɜs ɛɾvɛnənsveɾt
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/e7b64541a6ece8ddc6fc3c80f4280cb7a80a5f575db8a3ce1fa456c1d0c89060.mp3,Ostschweiz,Aber er gab nie zweimal dasselbe Konzert.,ɑbɜ ɛɾ ɡɑp ni tsvaɪmɑl daszɛlbə kɔntsɛɾt,ɛt hɛlt niɾ tsvaɪmɪl sɛlbɪk kʊntsɛrt gɛl,ɛɾ ɡɑp ni tsvaɪmɑl zɛlbə kɔntsɛɾtə
0bda2f56-850b-4930-9370-89ba5bb5e80a/57676b2dbcb88ca09c2918aeb365796d2ce6d1007fe1bd70a5e9ac1ddce6f252.mp3,Ostschweiz,Afrikas Frühling lässt seine erste Schwalbe fliegen.,afrikɑs frylɪŋ lɛst zaɪnə eɾstə ʃvalbə fliɡən,afri krasfɔølɪç lɛst zin jɛɾʃʃtalbɛflygɛ,afrikɑs frylɪŋ lɛst zaɪnə eɾstə ʃvalbə fliɡən
831d404d-b189-42b6-8120-073c1f8af73c/36bfed0aa9fbc43d59f533ffaa2fdde68b85876e78d64df1c9de6020223e4b1c.mp3,Ostschweiz,Das Geld sei von der CS bereits ausbezahlt worden.,das ɡɛlt zaɪ fɔn dɛɾ tseɛs bəraɪts aʊsbətsɑlt vɔɾdən,daɪkəltsɪk fɔr dɛɾ tserəs bəraɪts hʊstsaɪltpɔɾdən,dizəs ɡɛlt zaɪ fɔn den tseɛs bəraɪts aʊsɡətsɑlt vɔɾdən
72911186-8b0e-4c0b-af3d-4d8765072930/6a831a7b17d6f82868606068bfcd20f632cd8a7f7d1d84bc9ed077c7df6ad665.mp3,Ostschweiz,Woher bekommt der Körper Vitamin D?,voheɾ bəkɔmt dɛɾ kœɾpɜ vitamin de,vɔhɑbɛ xʊntɪk kɑpɑpɑ pitɑ mindɛ,voheɾ bəkɔmt dɛɾ kœɾpɜ vitamin de
a677eda9-7709-4c9d-8656-e7b665140f3b/c75cf914496a58f5796c972992dc8c0fac63a5cc8e19b508ba84b16aee4189ab.mp3,Ostschweiz,Susanne Heuberger begibt sich in den Ausstand.,zuzanə hɔøbɛɾɡɜ bəɡipt zɪç ɪn den aʊsʃtant,tsuzɑn hɔøbɛɾgɔ bɛgit zɪç ɪn ʊsʃtɑnd,zuzɑn hɔøbɛɾɡɜ bəɡipt zɪç ɪn aʊsʃtant
7f4b1ca8-c652-4056-96fb-f02e82182574/33babf1ba6d2138d87e3b209d754c37c7c206f2ba1b925ea2b3db0460901d245.mp3,Ostschweiz,Da dürfen wir kein Risiko eingehen.,dɑ dʏɾfən viɾ kaɪn riziko aɪnɡeən,tɔtɔfɔmiɔk kʰæj ɾɪsikɔigɔ,dɑ dʏɾfən viɾ kaɪn riziko aɪnɡeən
